vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
これ,これ,"this, this one",pronoun,これ,これをください。,I'll have this please.,<b>これ</b>をください。,これ,0;1
一つ,ひとつ,one (thing),noun,一[ひと]つ,それを一つください。,Please give me one of those.,それを<b> 一[ひと]つ</b>ください。,一つ,2
一,いち,one,noun,一[いち],一から始めましょう。,Let's start from scratch.,<b> 一[いち]</b>から 始[はじ]めましょう。,一,2
二,に,two,noun,二[に],その人には二回会った。,I met that person twice.,その 人[ひと]には<b> 二[に]</b> 回[かい] 会[あ]った。,二,1
二つ,ふたつ,two (things),noun,二[ふた]つ,ソフトクリームを二つください。,Can I get two ice cream cones?,ソフトクリームを<b> 二[ふた]つ</b>ください。,二つ,3
三,さん,three,noun,三[さん],彼女は三人の子供の母親だ。,She's a mother of three children.,彼女[かのじょ]は<b> 三[さん]</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。,三,0
それ,それ,"that, that one",pronoun,それ,それはとってもいい話だ。,That's a really nice story.,<b>それ</b>はとってもいい 話[はなし]だ。,それ,0;1
三つ,みっつ,three (things),noun,三[みっ]つ,コップを三つ買いました。,I bought three glasses.,コップを<b> 三[みっ]つ</b> 買[か]いました。,三つ,3
四,よん,four (Japanese origin),noun,四[よん],ハワイは四回目です。,This is my fourth trip to Hawaii.,ハワイは<b> 四[よん]</b> 回[かい] 目[め]です。,四,1
四つ,よっつ,four (things),noun,四[よっ]つ,私は腕時計を四つ持っています。,I have four wristwatches.,私[わたし]は 腕時計[うでどけい]を<b> 四[よっ]つ</b> 持[も]っています。,四つ,3
四,し,four (Chinese origin),noun,四[し],四月に大学に入学しました。,I entered college in April.,<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。,四,1
五,ご,five,noun,五[ご],五人で旅行に行きました。,Five of us went on a trip.,<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,五,1
いつ,いつ,when,interrogative,いつ,彼女はいつ来ますか。,When is she coming?,彼女[かのじょ]は<b>いつ</b> 来[き]ますか。,いつ,1;1 2
五つ,いつつ,five (things),noun,五[いつ]つ,桃を五つください。,"I'd like five peaches, please.",桃[もも]を<b> 五[いつ]つ</b>ください。,五つ,2
六,ろく,six,noun,六[ろく],彼には子供が六人います。,He has six children.,彼[かれ]には 子供[こども]が<b> 六[ろく]</b> 人[にん]います。,六,2
六つ,むっつ,six (things),noun,六[むっ]つ,息子は六つになりました。,My son turned six.,息子[むすこ]は<b> 六[むっ]つ</b>になりました。,六つ,3
七,なな,seven (Japanese origin),noun,七[なな],バナナが七本あります。,There are seven bananas.,バナナが<b> 七[なな]</b> 本[ほん]あります。,七,1
七つ,ななつ,seven (things),noun,七[なな]つ,この子は今年七つになります。,This kid is turning seven this year.,この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。,七つ,2
する,する,"do, make",verb,する,友達と一緒に宿題をした。,I did my homework with my friend.,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。,する,1;0
七,しち,seven (Chinese origin),noun,七[しち],そのグループのメンバーは全部で七人だ。,"In total, there are seven members in the group.",そのグループのメンバーは 全部[ぜんぶ]で<b> 七[しち]</b> 人[にん]だ。,七,2
八,はち,eight,noun,八[はち],りんごを八個ください。,Please give me eight apples.,りんごを<b> 八[はち]</b> 個[こ]ください。,八,2
八つ,やっつ,eight (things),noun,八[やっ]つ,あの家には時計が八つあります。,There are eight clocks in that house.,あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。,八つ,3
九,きゅう,nine,noun,九[きゅう],野球は九人で１チームです。,In baseball there are nine people on one team.,野球[やきゅう]は<b> 九[きゅう]</b> 人[にん]で１チームです。,九,1
九つ,ここのつ,nine (things),noun,九[ここの]つ,娘は明日九つになります。,My daughter's turning nine tomorrow.,娘[むすめ]は 明日[あす]<b> 九[ここの]つ</b>になります。,九つ,2
なる,なる,become,verb,なる,彼は医者になりました。,He became a doctor.,彼[かれ]は 医者[いしゃ]に<b>なりました</b>。,なる,1;0
九,く,nine,noun,九[く],私は九月に行く予定です。,I'm planning to go there in September.,私[わたし]は<b> 九[く]</b> 月[がつ]に 行[い]く 予定[よてい]です。,九,1
十,じゅう,ten,noun,十[じゅう],その子は指で十数えました。,The child counted to ten on her fingers.,その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。,十,1
百,ひゃく,hundred,noun,百[ひゃく],私の祖母は百才です。,My grandmother is 100 years old.,私[わたし]の 祖母[そぼ]は<b> 百[ひゃく]</b> 才[さい]です。,百,2
千,せん,thousand,noun,千[せん],千円貸してください。,Please lend me 1000 yen.,<b> 千[せん]</b> 円[えん] 貸[か]してください。,千,1
万,まん,ten thousand,noun,万[まん],この靴は１万円です。,These shoes are ten thousand yen.,この 靴[くつ]は１<b> 万[まん]</b> 円[えん]です。,万,1
まだ,まだ,"(not) yet, still",adverb,まだ,宿題はまだ終わっていません。,I haven't finished my homework yet.,宿題[しゅくだい]は<b>まだ</b> 終[お]わっていません。,未だ,1
円,えん,Japanese yen,noun,円[えん],カレーライスは７００円です。,The curry and rice is 700 yen.,カレーライスは７００<b> 円[えん]</b>です。,円,1
